Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Afghanistan,AFG,2017,183.9413871,134.9937531,45.73766239,5.810624892
Albania,ALB,2017,40.48112425,18.28075417,20.83739279,1.803883519
Algeria,DZA,2017,43.68351173,0.191766503,41.97623323,2.052063536
American Samoa,ASM,2017,58.93948537,20.31779722,38.62055628,0.001434633
Andean Latin America,,2017,32.77592701,10.68905781,21.47181719,0.802404539
Andorra,AND,2017,15.56947846,0.165664162,13.08853102,2.708944277
Angola,AGO,2017,95.2199092,62.19905799,29.75929262,5.029588394
Antigua and Barbuda,ATG,2017,32.35337088,1.435593983,30.90778066,0.012518973
Argentina,ARG,2017,31.05788284,2.260202746,27.3380539,1.745889964
Armenia,ARM,2017,64.81278003,11.90403664,50.07469349,3.860213646
Australasia,,2017,10.45977467,0.09103582,9.829451256,0.606479995
Australia,AUS,2017,10.79595183,0.083362775,10.12811059,0.659241943
Austria,AUT,2017,17.58634935,0.266582585,15.51928801,2.150996387
Azerbaijan,AZE,2017,80.19455282,20.75141979,56.9227866,3.240127486
Bahamas,BHS,2017,32.16057828,2.020472157,29.44753377,0.856969511
Bahrain,BHR,2017,62.90044938,0.280331589,60.42661075,3.28021338
Bangladesh,BGD,2017,108.5254782,61.98537817,41.48537925,8.542990754
Barbados,BRB,2017,35.06816141,0.042679749,34.91535429,0.140741811
Belarus,BLR,2017,50.71194995,0.692619198,49.2121131,1.008863458
Belgium,BEL,2017,19.12751273,0.104423222,17.06045966,2.354590464
Belize,BLZ,2017,44.21203868,12.17698152,30.91941883,1.455705296
Benin,BEN,2017,113.1595756,89.36395534,22.26813856,2.700112176
Bermuda,BMU,2017,17.6436257,1.449133422,15.24663007,1.129340293
Bhutan,BTN,2017,73.10805519,24.59026121,40.63592738,11.32963327
Bolivia,BOL,2017,53.87507204,19.63842884,32.43273565,2.366793908
Bosnia and Herzegovina,BIH,2017,58.07743401,22.08164444,34.10666537,2.6083783
Botswana,BWA,2017,69.80400608,35.52118004,31.33324547,4.077350275
Brazil,BRA,2017,30.32107718,5.583721424,22.94566355,2.150741719
Brunei,BRN,2017,20.30087711,0.16086464,19.09333592,1.139826398
Bulgaria,BGR,2017,51.39213645,10.24999951,39.32109162,2.329743218
Burkina Faso,BFA,2017,133.1826638,111.0732076,21.27612463,1.584887916
Burundi,BDI,2017,142.7742077,118.5665404,22.12083842,3.899705554
Cambodia,KHM,2017,107.9794976,84.71483473,21.83241823,2.327675127
Cameroon,CMR,2017,113.9615145,57.17836064,54.99003408,2.986348064
Canada,CAN,2017,10.71661841,0.024770498,9.11073344,1.739718061
Cape Verde,CPV,2017,50.81777756,24.63158195,25.4964979,1.004463127
Caribbean,,2017,46.42572749,18.59251431,26.70996418,1.450336742
Central African Republic,CAF,2017,199.6509972,153.3414568,43.15760017,5.941588544
Central Asia,,2017,79.03843944,21.90708545,54.77492589,3.072040152
Central Europe,,2017,39.2860961,7.396395104,30.23324073,2.108128187
"Central Europe, Eastern Europe, and Central Asia",,2017,49.12751746,6.040145458,41.63921324,1.818695116
Central Latin America,,2017,38.07513909,10.28877668,25.61843539,2.785763562
Central Sub-Saharan Africa,,2017,131.5987868,97.10208607,31.15296329,5.910979117
Chad,TCD,2017,159.147411,126.1919321,31.13891317,3.591430744
Chile,CHL,2017,24.29921298,2.937137106,20.4121352,1.213981759
China,CHN,2017,72.67678886,15.8036408,49.36714161,11.12328257
Colombia,COL,2017,22.09623922,4.40157515,16.69947541,1.235404513
Comoros,COM,2017,93.98944769,77.29998015,16.15860945,0.843548137
Congo,COG,2017,113.0051803,59.20779607,51.35530456,3.782222907
